# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Standard Edition
# File: C:\Users\buchana3\Documents\2023-24 Courses\2024 ECE 2220 Digital Logic\Projects\Modules\break\break.csv
# Generated on: Mon Nov 18 12:21:14 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HEX0[6],Output,PIN_AH18,4A,B4A_N0,,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG18,4A,B4A_N0,,,,,,,,,,,,,,
HEX0[4],Output,PIN_AH17,4A,B4A_N0,,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG16,4A,B4A_N0,,,,,,,,,,,,,,
HEX0[2],Output,PIN_AG17,4A,B4A_N0,,,,,,,,,,,,,,
HEX0[1],Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
HEX0[0],Output,PIN_W17,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[6],Output,PIN_V17,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[5],Output,PIN_AE17,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[4],Output,PIN_AE18,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[3],Output,PIN_AD17,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[2],Output,PIN_AE16,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[1],Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
HEX1[0],Output,PIN_AF16,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[6],Output,PIN_AA21,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[5],Output,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[4],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[3],Output,PIN_Y17,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[2],Output,PIN_Y18,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[1],Output,PIN_AF18,4A,B4A_N0,,,,,,,,,,,,,,
HEX2[0],Output,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[6],Output,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[5],Output,PIN_W19,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[4],Output,PIN_AD19,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[3],Output,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[2],Output,PIN_AC20,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[1],Output,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD20,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[6],Output,PIN_AD21,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[5],Output,PIN_AG22,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[4],Output,PIN_AE22,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[3],Output,PIN_AE23,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[2],Output,PIN_AG23,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[1],Output,PIN_AF23,4A,B4A_N0,,,,,,,,,,,,,,
HEX4[0],Output,PIN_AH22,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[6],Output,PIN_AF21,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[5],Output,PIN_AG21,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[4],Output,PIN_AF20,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[3],Output,PIN_AG20,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[2],Output,PIN_AE19,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[1],Output,PIN_AF19,4A,B4A_N0,,,,,,,,,,,,,,
HEX5[0],Output,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
LED0,Output,PIN_AA24,5A,B5A_N0,,,,,,,,,,,,,,
LED9,Output,PIN_AC22,4A,B4A_N0,,,,,,,,,,,,,,
clk,Input,PIN_AF14,3B,B3B_N0,,,,,,,,,,,,,,
rst_n,Input,PIN_AB30,5B,B5B_N0,,,,,,,,,,,,,,
sense,Input,PIN_AA12,3A,B3A_N0,,,,,,,,,,,,,,
slow_clk,Output,PIN_AF25,4A,B4A_N0,,,,,,,,,,,,,,
